,idmes,author_id,text,date,replay_id,fwd_id,fwd_date
0,87,5227923751,"| महासंवाद | DGIPR NEWS | शुक्रवार १ एप्रिल, २०२२ |-४

मराठी नववर्ष आशा, आकांक्षाचे नवे पर्व घेऊन येईल - मुख्यमंत्री उद्धव ठाकरे
• गुढीपाडव्याच्या पूर्वसंध्येला दिल्या शुभेच्छा
https://mahasamvad.in/?p=63793

उष्माघातासंदर्भात ‘दिलखुलास’ कार्यक्रमात डॉ. मधुकर गायकवाड यांची मुलाखत
https://mahasamvad.in/?p=63795

➖➖➖➖➖
MahaDGIPR चे अपडेट्स मिळवण्यासाठी आम्हाला फेसबुक, इन्स्टाग्राम, युट्यूब, ट्विटर, ब्लॉग, जिओ चॅट आणि टेलिग्राम चॅनल वर फॉलो करू शकता.",2022-04-01 18:01:08+00:00,,1130914028.0,2022-04-01 15:26:57+00:00
1,86,5227923751,Временная регистрация ИНН Пин в ЛС,2022-04-01 18:00:15+00:00,,5234007336.0,2022-04-01 03:54:51+00:00
2,61,5227923751,Jasno,2022-04-01 15:51:59+00:00,,1951706151.0,2022-03-23 12:29:49+00:00
3,60,5227923751,Test again,2022-04-01 15:51:58+00:00,,,
4,59,5227923751,Фако,2022-04-01 15:51:31+00:00,,318973541.0,2022-04-01 03:37:01+00:00
5,57,5227923751,analize Telegramm programming tools...,2022-04-01 15:15:19+00:00,33.0,,
6,33,5276022195,Best of luck!,2022-03-26 15:40:45+00:00,,,
7,32,5227923751,Yes),2022-03-24 05:06:37+00:00,,,
8,31,5276022195,Good stuff! So you are still planning on becoming a programmer?,2022-03-23 21:31:32+00:00,,,
9,30,5227923751,Yes! Very Friendly and speak Russian,2022-03-23 14:45:42+00:00,,,
10,29,5276022195,That’s nice to hear. Are the people friendly to Russians?,2022-03-23 13:37:01+00:00,,,
11,27,5227923751,"Something is good! Food, cheap living...",2022-03-23 12:27:56+00:00,,,
12,25,5276022195,Do you like it there?,2022-03-23 11:45:14+00:00,,,
13,24,5276022195,"Hahahahaha no way, looks very rural!",2022-03-23 11:45:10+00:00,,,
14,23,5227923751,"Yep, this is city center)",2022-03-23 11:27:58+00:00,,,
15,22,5227923751,,2022-03-23 11:27:41+00:00,,,
16,21,5227923751,,2022-03-23 11:27:41+00:00,,,
17,20,5227923751,,2022-03-23 11:27:41+00:00,,,
18,19,5276022195,Yes Dennis you good mate? You made it to Kyrgyzstan?,2022-03-22 21:52:43+00:00,,,
19,18,5276022195,,2022-03-22 21:51:55+00:00,,,
20,11,5227923751,Denis from hostel,2022-03-20 07:44:38+00:00,,,
21,10,5227923751,,2022-03-20 07:44:25+00:00,,,
22,9,5276022195,Hello! Who is this?,2022-03-19 22:05:00+00:00,,,
23,2,5227923751,Hellow. Nice to see you at telegram. I am moving,2022-03-18 22:11:13+00:00,,,
