,idmes,author_id,text,date,replay_id,fwd_info
0,21840,634051021.0,"Ребята, если кому-то нужно попасть в Посольство РФ.  Появилось несколько окошек, мне удалось  записаться только что.",2022-04-02 09:11:12+00:00,,
1,21839,127791243.0,"Нет, закрылись тоже",2022-04-02 09:04:31+00:00,21838.0,
2,21838,539934388.0,А на Дзержинке вроде работают же?,2022-04-02 09:04:17+00:00,21835.0,
3,21837,,Без политики,2022-04-02 09:02:04+00:00,,
4,21835,127791243.0,"Продали бизнес,не оплатили сотрудникам и закрылись((",2022-04-02 09:00:37+00:00,21825.0,
5,21833,5124628541.0,Очень жаль. Еда там была отличная.,2022-04-02 08:59:40+00:00,21830.0,
6,21832,,Закрылись они 😐,2022-04-02 08:59:33+00:00,21825.0,
7,21831,701888106.0,"а озвучка это как балет, только перед балеринами танцуют другие балерины, немного по другому",2022-04-02 08:59:24+00:00,21828.0,
8,21830,685524064.0,"У них надо спросить, почему они сотрудникам не платят. Знаю как минимум несколько человек, которых они кинули на несколько месяцев зарплаты",2022-04-02 08:59:05+00:00,21829.0,
9,21829,5124628541.0,Серьезно? Почему?,2022-04-02 08:58:07+00:00,21827.0,
10,21828,5124628541.0,"Я знаю английский, но люблю атмосфэру полного расслабления мозга).
 Ну какие субтитры, вы чо, это как балет под фонограмму)))",2022-04-02 08:57:33+00:00,21824.0,
11,21827,685524064.0,Я в них из принципа не хожу. Они не платят своим сотрудникам,2022-04-02 08:56:56+00:00,21825.0,
12,21826,5124628541.0,MadFood кажется,2022-04-02 08:56:37+00:00,,
13,21825,5124628541.0,"Без политики.
Лучше скажите, вот в кафешке Mad на Московская/Манаса все также вкусно?
 Помню, офигенные гамбургеры и баклажаны там готовили.",2022-04-02 08:56:21+00:00,,
14,21824,685524064.0,"Я то с удовольствием на английском буду смотреть. А вот тем, кто не знает английского придется попотеть  )",2022-04-02 08:56:07+00:00,21822.0,
15,21822,463908165.0,"Даже лучше будет, английский прокачаем и в оригинальной озвучке посмотрим)",2022-04-02 08:55:26+00:00,21819.0,
16,21820,5124628541.0,"Да в принципе, студии озвучки тут есть. Прокатчики у них были российские, емнип, но это заменяемо. В общем,буду верить в лучшее)",2022-04-02 08:30:24+00:00,21817.0,
17,21819,685524064.0,"Если что, на инглише пусть хотя бы показывают с субтитрами. Я думаю, придумают что-то",2022-04-02 08:25:33+00:00,21817.0,
18,21818,588586575.0,Нет. С пэйпала можно платит только с привязанной карты.,2022-04-02 08:23:33+00:00,21794.0,
19,21817,,"Дело не в прокатчике, дело в озвучке",2022-04-02 08:22:50+00:00,21814.0,
20,21816,5124628541.0,"Так, не пугаем меня раньше времени).",2022-04-02 08:21:22+00:00,21815.0,
